"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
50.9158855193356,-279.907132560379,8.60979704073855e-14,2.08620710185595,"Resting","Resting",3600,1,2178,2178,1,7,9
60.5981927453938,-285.11738449243,10.9951715955335,-0.349853804720134,"Transit","Resting",3600,1,2179,2179,5,4,9
60.5098969179429,-285.075045355495,0.0979221918753803,-3.09504077215906,"Resting","Resting",3600,1,2180,2180,1,1,9
60.9959960102617,-284.954956040029,0.500713262498929,-2.45226984214297,"Resting","Resting",3600,1,2181,2181,1,1,9
60.9916485828694,-284.955527428647,0.00438481583249407,3.03007761434298,"Resting","Resting",3600,1,2182,2182,1,8,9
61.6088013069027,-284.929300298855,0.617709759611105,3.05338169184119,"Resting","Resting",3600,1,2183,2183,1,8,9
68.5228126163887,-282.784041596177,7.23917725222406,0.258386937304794,"Transit","Resting",3600,1,2184,2184,3,5,9
68.344068047594,-283.190167721777,0.443720690038365,-2.28626279761123,"Resting","Resting",3600,1,2185,2185,1,2,9
68.3626871022682,-283.153053917693,0.0415223271325945,3.09121432655194,"Resting","Resting",3600,1,2186,2186,1,8,9
68.3338198349597,-283.250355572653,0.101493503140851,-2.96501259596625,"Resting","Resting",3600,1,2187,2187,1,1,9
68.2967176467928,-283.213478235584,0.0523116655829508,-2.06474875648421,"Resting","Resting",3600,1,2188,2188,1,2,9
67.3494832572151,-284.510510825275,1.60609667440026,1.72237591648752,"Exploratory","Resting",3600,1,2189,2189,1,7,9
67.4818515356105,-284.369540875396,0.193374992939349,3.01843228851975,"Resting","Resting",3600,1,2190,2190,1,8,9
62.7696856373653,-285.286869440716,4.80062487071603,2.51700354812365,"Exploratory","Resting",3600,1,2191,2191,2,8,9
62.7697778604291,-285.286816589987,0.00010629342938903,-2.81347393012045,"Resting","Resting",3600,1,2192,2192,1,1,9
71.2804967662273,-279.2005137019,10.4630501833377,0.100424475650273,"Transit","Resting",3600,1,2193,2193,5,5,9
70.6948083918462,-279.948565312644,0.950058989864759,-2.8558660927764,"Resting","Resting",3600,1,2194,2194,1,1,9
70.6778091981257,-279.916766796329,0.0360571522312793,-1.98639793123208,"Resting","Resting",3600,1,2195,2195,1,2,9
70.6778107063259,-279.916770010845,3.55074391903101e-06,3.08934932866429,"Resting","Resting",3600,1,2196,2196,1,8,9
